ID_DEMO,group
140685074,ml_group
500025028,ml_group
140705092,ml_group
140706337,ml_group
140801147,ml_group
600115951,ml_group
140283162,ml_group
300104635,ml_group
430217509,ml_group
600433762,ml_group
200313656,ml_group
730288753,ml_group
230246672,ml_group
230025496,ml_group
830245747,ml_group
330294146,ml_group
140151303,ml_group
800045316,ml_group
140819611,ml_group
140046472,ml_group
140282010,ml_group
300493990,ml_group
400538018,ml_group
700531125,ml_group
140874046,ml_group
100115512,ml_group
800338282,ml_group
140390873,ml_group
140685745,ml_group
140668423,ml_group
140332798,ml_group
140023918,ml_group
530318530,ml_group
700044402,ml_group
600517727,ml_group
400006953,ml_group
200511614,ml_group
630052238,ml_group
140052935,ml_group
100161768,ml_group
330020191,ml_group
140817605,ml_group
200086516,ml_group
140102032,ml_group
630164040,ml_group
140839521,ml_group
140858485,ml_group
140035688,ml_group
500073360,ml_group
140247240,ml_group
700533588,ml_group
800477703,ml_group
830228150,ml_group
200572011,ml_group
300101202,ml_group
140500814,ml_group
400049139,ml_group
300533421,ml_group
130009926,ml_group
530009761,ml_group
140688195,ml_group
300505939,ml_group
730003885,ml_group
140385592,ml_group
500528095,ml_group
600135179,ml_group
400115200,ml_group
300514063,ml_group
530107235,ml_group
830275312,ml_group
600360528,ml_group
140543358,ml_group
530133119,ml_group
140241647,ml_group
400111750,ml_group
140705570,ml_group
140816057,ml_group
200574191,ml_group
700429945,ml_group
700305607,ml_group
140002371,ml_group
140695789,ml_group
330252886,ml_group
100441233,ml_group
300539248,ml_group
330383481,ml_group
800041179,ml_group
140239849,ml_group
140591965,ml_group
140838350,ml_group
400521182,ml_group
800392501,ml_group
400115434,ml_group
140625096,ml_group
200325993,ml_group
100128305,ml_group
140293686,ml_group
630092024,ml_group
140087829,ml_group
140703195,ml_group
530294975,ml_group
140823863,ml_group
140831287,ml_group
100020434,ml_group
200099783,ml_group
430214282,ml_group
500083341,ml_group
800261737,ml_group
200185501,ml_group
400170979,ml_group
300127195,ml_group
500003042,ml_group
140121938,ml_group
140622072,ml_group
140853476,ml_group
140853527,ml_group
630171329,ml_group
400137887,ml_group
730217015,ml_group
140298562,ml_group
140719890,ml_group
140841446,ml_group
600125955,ml_group
230055291,ml_group
430124763,ml_group
800094066,ml_group
140820450,ml_group
140701465,ml_group
300027922,ml_group
400003851,ml_group
730438535,ml_group
700086146,ml_group
140151563,ml_group
700084442,ml_group
500113688,ml_group
140675912,ml_group
830135816,ml_group
140443500,ml_group
