,importance
PAST_MEMBER,0.26459583087160393
NOT MEMBER YEARS,0.1960853242425911
UMN INFORM,0.11807583020728701
CLICK THROUGH RATE,0.10828686787440972
AGE,0.09256983136255988
ANNUAL YEARS,0.0632969006918084
UMN DONOR,0.060241234182262626
UMN EVENT,0.042679322378215506
GENDER,0.017815715451616615
HOUSEHOLD_INCOME,0.01452526864587673
UMN VOLUN,0.010988882922550555
IN_TC_METRO_AREA,0.005988922666367282
UMN LOYALTY,0.004850068502850435
