,importance
ANNUAL YEARS,0.4707964782115032
NOT MEMBER YEARS,0.14097820331105618
AGE,0.1265558216046964
UMN DONOR,0.0826254198953638
UMN INFORM,0.04295445599223291
HOUSEHOLD_INCOME,0.038047438356468156
CLICK THROUGH RATE,0.025562122370606028
GENDER,0.02351123622026627
UMN EVENT,0.018711403863537462
UMN VOLUN,0.01172656449382376
IN_TC_METRO_AREA,0.011518145713764992
UMN LOYALTY,0.007012709966680925
