,importance
AGE,0.14834299869934697
HOUSEHOLD_INCOME,0.1426932924966975
CLICK THROUGH RATE,0.12589678835405904
UMN DONOR,0.11327811931808898
NOT MEMBER YEARS,0.1055840434495858
ANNUAL YEARS,0.08545647552417539
UMN EVENT,0.08124859090561211
UMN INFORM,0.0710227253158122
UMN VOLUN,0.05245165193311287
UMN LOYALTY,0.02962740682864134
GENDER,0.02640067213628129
IN_TC_METRO_AREA,0.017997235038586603
